,Time,Median Sale Price,In Time,OOT Time
65,2015-Jul,289000.0,238182.89563002024,238182.89563002024
66,2015-Aug,294000.0,228003.57583674023,228003.57583674023
67,2015-Sep,290000.0,225964.53985475466,225964.53985475466
68,2015-Oct,298000.0,222569.62810925362,222569.62810925362
69,2015-Nov,300000.0,227678.92600408124,227678.92600408124
70,2015-Dec,282000.0,231828.93831956876,231828.93831956876
71,2016-Jan,268000.0,230969.85412504882,230969.85412504882
72,2016-Feb,262000.0,235434.01283569945,235434.01283569945
73,2016-Mar,286000.0,235504.01522576163,235504.01522576163
74,2016-Apr,297000.0,230667.46400016165,230667.46400016165
75,2016-May,300000.0,232714.1540367484,232714.1540367484
76,2016-Jun,295000.0,239544.3417098959,239544.3417098959
77,2016-Jul,295000.0,235634.59091137876,235634.59091137876
78,2016-Aug,289000.0,243692.43724159178,243692.43724159178
79,2016-Sep,290000.0,239273.66780187693,239273.66780187693
80,2016-Oct,290000.0,247454.1693855796,247454.1693855796
81,2016-Nov,286000.0,249755.55513850955,249755.55513850955
82,2016-Dec,285000.0,243488.18318571267,243488.18318571267
83,2017-Jan,300000.0,229720.4461744936,229720.4461744936
84,2017-Feb,293000.0,238052.02686821553,238052.02686821553
85,2017-Mar,285000.0,251104.43986230253,251104.43986230253
86,2017-Apr,285000.0,253629.13652450262,253629.13652450262
87,2017-May,303000.0,246911.04190964065,246911.04190964065
88,2017-Jun,294000.0,253687.82955441604,253687.82955441604
89,2017-Jul,315000.0,240128.4912779318,240128.4912779318
90,2017-Aug,289000.0,255218.2766417228,255218.2766417228
91,2017-Sep,281000.0,256068.20233824686,256068.20233824686
92,2017-Oct,302000.0,245357.697908701,245357.697908701
93,2017-Nov,295000.0,248542.03767871036,248542.03767871036
94,2017-Dec,300000.0,242863.52125774967,242863.52125774967
95,2018-Jan,290000.0,243549.62814374804,243549.62814374804
96,2018-Feb,301000.0,244667.9088632337,244667.9088632337
97,2018-Mar,305000.0,246817.49984124018,246817.49984124018
98,2018-Apr,310000.0,247034.97967437623,247034.97967437623
99,2018-May,311000.0,238730.64213888143,238730.64213888143
100,2018-Jun,310000.0,311000.0,311000.0
101,2018-Jul,303000.0,313591.6496860662,313591.6496860662
102,2018-Aug,291000.0,319835.4947083093,319835.4947083093
103,2018-Sep,300000.0,330970.79696072376,330970.79696072376
104,2018-Oct,299000.0,325844.6684354226,325844.6684354226
105,2018-Nov,290000.0,333262.0688211937,333262.0688211937
106,2018-Dec,307000.0,330195.93276990193,330195.93276990193
107,2019-Jan,300000.0,329206.32071174774,329206.32071174774
108,2019-Feb,300000.0,311259.0634713824,311259.0634713824
109,2019-Mar,315000.0,306363.5416215864,306363.5416215864
110,2019-Apr,316000.0,306782.3363096452,306782.3363096452
111,2019-May,317000.0,304279.16262648744,304279.16262648744
112,2019-Jun,325000.0,292859.2263005018,292859.2263005018
113,2019-Jul,318000.0,295661.8000067136,295661.8000067136
114,2019-Aug,300000.0,296889.74822968506,296889.74822968506
115,2019-Sep,315000.0,307350.9366125923,307350.9366125923
116,2019-Oct,330000.0,299685.1150771068,299685.1150771068
